CustID,Mark
C000081759,large
C005491711,large
C000118231,large
C000252990,large
C005498242,large
C005495790,large
C005494556,large
C005492372,large
C000105746,large
C000026617,large
C005496874,large
C004846408,large
C000044866,large
C005497282,large
C000169161,large
C005494963,large
C004257170,large
C005495101,large
C004295325,large
C005495868,large
C005493111,large
C005494162,large
C005496420,large
C005491341,large
C000078356,large
C005495168,large
C005492216,large
C005492207,large
C000292527,large
C005496870,large
C000224216,large
C005495421,large
C005497353,large
C005494055,large
C005490829,large
C005490709,large
C005494771,large
C005494511,large
C004801513,large
C005498147,large
C000221453,large
C005490764,large
C005493165,large
C004106453,large
C005491881,large
C000006686,large
C005497899,large
C004892825,large
C005494483,large
C005494555,large
C005494046,large
C005223319,large
C005491523,large
C005495800,large
C000365278,large
C005491929,large
C004952413,large
C005497751,large
C005495644,large
C005491817,large
C005492625,large
C005492960,large
C005498262,large
C005122455,large
C005497246,large
C005498160,large
C005202227,large
C005494761,large
C005490863,large
C005494790,large
C005495186,large
C004865906,large
C005171053,large
C005494698,large
C005492563,large
C004833577,large
C004801909,large
C000024579,large
C000295048,large
C000339508,large
C000262299,large
C000310487,large
C005496637,large
C005497678,large
C005492921,large
C000070065,large
C005490946,large
C004943558,large
C005496905,large
C000349143,large
C005495240,large
C005490981,large
C005065546,large
C005496014,large
C000779873,large
C000202081,large
C005492747,large
C005495546,large
C005491526,large
C005495237,large
C004846674,large
C005496200,large
C005494951,large
C005493001,large
C000153999,large
C005493606,large
C005040026,large
C005498621,large
C005496146,large
C005494231,large
C005493622,large
C005491951,large
C005148911,large
C005496179,large
C004958785,large
C005493198,large
C005493928,large
C000182142,large
C000004883,large
C004339430,large
C005496290,large
C005497055,large
C005491301,large
C005494722,large
C005493904,large
C005492537,large
C000292555,large
C005490760,large
C005495934,large
C005494709,large
C005495258,large
C004973771,large
C005496359,large
C005491182,large
C005491150,large
C005164418,large
C004958465,large
C005494451,large
C005495155,large
C005171671,large
C005494302,large
C000153710,large
C005494654,large
C005496261,large
C005497366,large
C000321041,large
C005492054,large
C000122215,large
C005498367,large
C005493711,large
C000066024,large
C005493323,large
C005495423,large
C005493653,large
C005494471,large
C000121825,large
C005221380,large
C000179830,large
C005497011,large
C000293989,large
C000268385,large
C005493966,large
C005497793,large
C005495794,large
C004949949,large
C005495486,large
C005494915,large
C004260704,large
C004845733,large
C005494732,large
C005496524,large
C005492241,large
C005201722,large
C005495057,large
C005491742,large
C005495425,large
C005496615,large
C005495827,large
C005494245,large
C005493885,large
C005497808,large
C005493686,large
C005497952,large
C004768787,large
C005496596,large
C005494864,large
C005495290,large
C005497527,large
C005497797,large
C004935470,large
C005498172,large
C005498537,large
C000021166,large
C005494086,large
C005497939,large
C005494766,large
C000423368,large
C000025881,large
C005497436,large
C005496515,large
C000027534,large
C000112451,large
C005493586,large
C001916921,large
C004979709,large
C004992042,large
C004949951,large
C005497008,large
C000043618,large
C003609487,large
C000328140,large
C004870149,large
C004802128,large
C004861315,large
C005040794,large
C000221353,large
C005493149,large
C005491396,large
C005102757,large
C005494879,large
C005492340,large
C001095553,large
C005492175,large
C005491188,large
C005495739,large
C005496640,large
C005497441,large
C005495295,large
C005495676,large
C005492948,large
C005490807,large
C004846274,large
C000087672,large
C005497927,large
C005494037,large
C005490707,large
C005493778,large
C005496430,large
C005493513,large
C000221825,large
C005497867,large
C004829762,large
C005156196,large
C000080580,large
C005492913,large
C004858669,large
C004825378,large
C000350968,large
C000241057,large
C000341689,large
C000318892,large
C005223582,large
C000450292,large
C005493695,large
C000222362,large
C005494533,large
C005491095,large
C005493296,large
C005231909,large
C005493726,large
C005496670,large
C005498296,large
C004274411,large
C000272967,large
C005496317,large
C005047535,large
C005492983,large
C005496600,large
C000150401,large
C000276855,large
C005496157,large
C005494312,large
C005490962,large
C005497989,large
C000268210,large
C000309560,large
C005040830,large
C000124076,large
C000188803,large
C005491576,large
C005496496,large
C005495964,large
C005191146,large
C005491348,large
C005493278,large
C005496756,large
C005247222,large
C000321946,large
C000273696,large
C005496872,large
C005491453,large
C005495872,large
C000161768,large
C005496722,large
C005490843,large
C005498170,large
C005160192,large
C000096334,large
C005491891,large
C005493991,large
C005498096,large
C005495588,large
C004812327,large
C005496752,large
C005496955,large
C000166242,large
C005497710,large
C004932420,large
C005494591,large
C005494204,large
C000153216,large
C005497587,large
C005492145,large
C003773059,large
C005494321,large
C004892196,large
C005136465,large
C000181397,large
C005494891,large
C005491457,large
C004889303,large
C005490790,large
C005496052,large
C005493132,large
C005496269,large
C005494191,large
C005496196,large
C005497309,large
C004984048,large
C005496800,large
C004903578,large
C004853316,large
C000241086,large
C005493298,large
C005494428,large
C000228624,large
C005491614,large
C005491347,large
C004945071,large
C005492166,large
C005179934,large
C000075104,large
C004833270,large
C000075292,large
C000078685,large
C000045842,large
C005493763,large
C005493299,large
C000054335,large
C005491671,large
C003582835,large
C005498334,large
C005495635,large
C000097504,large
C005490883,large
C005497364,large
C000116040,large
C005495444,large
C000104678,large
C005496579,large
C004825371,large
C000806188,large
C005491775,large
C005495331,large
C000281442,large
C000794930,large
C005495247,large
C000312677,large
C000064500,large
C005491798,large
C005491574,large
C000119869,large
C005491790,large
C005251508,large
C005490845,large
C005498061,large
C005216334,large
C004883319,large
C000133719,large
C005491152,large
C005491139,large
C005495274,large
C005497736,large
C005491125,large
C005491533,large
C005497369,large
C005495094,large
C005494109,large
C005497395,large
C000364883,large
C005492354,large
C005498343,large
C005498239,large
C005495843,large
C004855068,large
C005493830,large
C005493484,large
C005493620,large
C000374646,large
C000326862,large
C005495828,large
C000211044,large
C000328444,large
C005496431,large
C005491399,large
C005491511,large
C005202585,large
C005492293,large
C005493600,large
C005497709,large
C005050635,large
C000086528,large
C005491406,large
C004876798,large
C004002309,large
C005496630,large
C000014688,large
C000252196,large
C005495233,large
C005493491,large
C005497270,large
C005496557,large
C005495103,large
C005078701,large
C005496934,large
C005492763,large
C000075234,large
C001838042,large
C005495714,large
C000096434,large
C005493682,large
C005496428,large
C005495156,large
C004897914,large
C000144210,large
C004945582,large
C000175061,large
C000347748,large
C005255991,large
C000287150,large
C005498124,large
C000120768,large
C005494614,large
C005497411,large
C005492814,large
C005497351,large
C000270625,large
C005498316,large
C000084822,large
C004955859,large
C000025808,large
C005495379,large
C005494430,large
C005493793,large
C004854972,large
C005494240,large
C005494976,large
C000095993,large
C005490941,large
C005494755,large
C000124842,large
C005498256,large
C005490888,large
C004912405,large
C000310786,large
C005497676,large
C005058460,large
C000048398,large
C005046915,large
C005498168,large
C005494554,large
C005495587,large
C005494504,large
C005495218,large
C005497490,large
C004960986,large
C000305571,large
C004948539,large
C005498591,large
C005491835,large
C000224777,large
C005494047,large
C004238894,large
C005491882,large
C001642051,large
C000296569,large
C005496671,large
C005491257,large
C005491131,large
C000288297,large
C005492038,large
C005490771,large
C005494641,large
C005496343,large
C000092152,large
C005494308,large
C005498401,large
C000109683,large
C005493872,large
C004873804,large
C005492765,large
C005497168,large
C005491534,large
C005494908,large
C005497560,large
C005497454,large
C005493974,large
C005497918,large
C005492622,large
C000091293,large
C005277768,large
C005494970,large
C004934920,large
C005496292,large
C005279353,large
C005498626,large
C000064012,large
C000114847,large
C005490864,large
C005493258,large
C005492914,large
C005160539,large
C001967253,large
C005490980,large
C005493160,large
C000016745,large
C005491632,large
C005491456,large
C000242335,large
C005492841,large
C005490876,large
C005496191,large
C005492203,large
C005497912,large
C005490932,large
C000268780,large
C005493820,large
C005166977,large
C005495038,large
C005496063,large
C005491419,large
C005497331,large
C004893963,large
C005495498,large
C000231346,large
C000117769,large
C005493483,large
C005494336,large
C005495311,large
C004944703,large
C000293150,large
C005162906,large
C005495686,large
C000015599,large
C000095377,large
C004709736,large
C000349273,large
C000100155,large
C005490798,large
C005495225,large
C005491110,large
C000000279,large
C000030045,large
C005494586,large
C000232489,large
C005494000,large
C005497022,large
C005041608,large
C005492265,large
C005496156,large
C004957676,large
C000173228,large
C005491794,large
C005493324,large
C001956691,large
C000243151,large
C005492282,large
C004997414,large
C004782445,large
C004976921,large
C005227694,large
C005492941,large
C000320473,large
C005494545,large
C005494356,large
C005496503,large
C005496792,large
C000191305,large
C005493780,large
C005107812,large
C005495598,large
C005493432,large
C005494631,large
C005497816,large
C005494033,large
C000063510,large
C005495494,large
C004861340,large
C005492995,large
C005492516,large
C005491609,large
C005198627,large
C005155470,large
C005001706,large
C005001703,large
C005001700,large
C004995426,large
C004995423,large
C005001699,large
C005001711,large
C005001709,large
C005001712,large
C005492550,large
C004855349,large
C005497410,large
C005492990,large
C005494039,large
C005495745,large
C000300748,large
C000329310,large
C005497265,large
C000218248,large
C005498501,large
C000363612,large
C005492011,large
C005493485,large
C005490746,large
C005052631,large
C005495108,large
C004236344,large
C005493046,large
C005494585,large
C000294599,large
C005492152,large
C005491497,large
C005068472,large
C005491298,large
C004917359,large
C005495488,large
C000173000,large
C005495911,large
C005491764,large
C005491877,large
C005496307,large
C000005071,large
C005492063,large
C005056536,large
C005022792,large
C005240943,large
C005494305,large
C005012205,large
C004047619,large
C000271422,large
C005029177,large
C005253918,large
C005491338,large
C005050877,large
C005496305,large
C005491845,large
C005494388,large
C005491368,large
C005492385,large
C005491466,large
C005495780,large
C005496639,large
C005491195,large
C005490854,large
C005494608,large
C005495138,large
C004885038,large
C005495792,large
C005493116,large
C005491309,large
C005495396,large
C005496017,large
C000091020,large
C005491343,large
C005496137,large
C005496202,large
C005497271,large
C005493436,large
C000227207,large
C000271862,large
C005491401,large
C005202584,large
